usage_id,usage_date,usage_ts,subscription_id,resource_group_id,service_id,resource_name,meter_name,region,usage_quantity,unit_price,cost_amount,currency,pricing_model,environment,source_system,created_at,updated_at
1,2026-04-05,2026-04-05 01:29:45,2,3,2,storage-account-728,Write Operations,northeurope,30.6516,0.054751,1.6782,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.802937,2026-05-05 15:38:47.802937
2,2026-04-05,2026-04-05 06:10:12,3,2,4,dbr-born-319,All Purpose Compute DBU,westeurope,445.1123,0.875799,389.8289,USD,SAVINGS_PLAN,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.802937,2026-05-05 15:38:47.802937
3,2026-04-05,2026-04-05 01:34:48,3,5,2,storage-agent-885,Write Operations,westeurope,7.8697,0.022193,0.1747,USD,RESERVED,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.802937,2026-05-05 15:38:47.802937
4,2026-04-05,2026-04-05 22:38:52,3,3,2,storage-may-732,Read Operations,northeurope,123.3063,0.047019,5.7977,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.802937,2026-05-05 15:38:47.802937
5,2026-04-05,2026-04-05 02:55:15,2,3,7,log-care-408,Data Ingestion GB,northeurope,92.6656,1.794114,166.2527,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.802937,2026-05-05 15:38:47.802937
6,2026-04-05,2026-04-05 07:00:36,2,5,7,log-look-769,Data Retention GB,westeurope,396.6993,0.274249,108.7944,USD,RESERVED,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.802937,2026-05-05 15:38:47.802937
7,2026-04-05,2026-04-05 16:20:56,1,3,1,vm-smile-277,D8s v5 VM Hours,northeurope,277.557,0.494558,137.268,USD,SAVINGS_PLAN,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.802937,2026-05-05 15:38:47.802937
8,2026-04-05,2026-04-05 00:17:36,1,4,4,dbr-require-247,Jobs Compute DBU,westeurope,163.2198,0.596296,97.3273,USD,PAYG,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.802937,2026-05-05 15:38:47.802937
9,2026-04-05,2026-04-05 18:58:32,1,1,3,adf-expert-294,Data Movement Hours,westeurope,127.3377,0.042312,5.3879,USD,SAVINGS_PLAN,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.802937,2026-05-05 15:38:47.802937
10,2026-04-05,2026-04-05 10:21:32,2,3,6,eventhub-staff-349,Standard Throughput Unit,northeurope,130.3713,0.242973,31.6767,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.802937,2026-05-05 15:38:47.802937
